round,client_id,accuracy,loss
0,0,0.21,1.1988802289962768
0,1,0.23,1.189366912841797
0,2,0.23,1.1875178050994872
1,0,0.5,2.4829562091827393
1,1,0.46,2.6466935110092162
1,2,0.47,2.64852961063385
2,0,0.5,3.8174161100387574
2,1,0.46,3.9432225751876833
2,2,0.47,4.060214285850525
3,0,0.5,2.9366003847122193
3,1,0.46,3.143844392299652
3,2,0.47,3.0811095333099363
4,0,0.76,0.6959115678071975
4,1,0.8,0.7079565215110779
4,2,0.75,0.6438170957565308
5,0,0.71,0.9232370710372925
5,1,0.69,0.8923073434829711
5,2,0.7,0.7055677175521851
6,0,0.47,2.029102153778076
6,1,0.46,2.364612672328949
6,2,0.55,1.672623300552368
7,0,0.66,1.2805982518196106
7,1,0.62,1.384185436964035
7,2,0.68,1.1429647970199586
8,0,0.84,0.42876709580421446
8,1,0.89,0.43357866823673247
8,2,0.84,0.42206673622131347
9,0,0.81,0.4365235352516174
9,1,0.87,0.3728659600019455
9,2,0.88,0.3403493976593018
10,0,0.49,2.3184166431427
10,1,0.57,2.2216530323028563
10,2,0.55,1.9785710716247558
