round,client_id,accuracy,loss
0,0,0.22,1.1918138599395751
0,1,0.22,1.1957195091247559
0,2,0.22,1.1936681032180787
1,0,0.47,3.068821406364441
1,1,0.47,3.056978678703308
1,2,0.47,3.0649656152725218
2,0,0.47,5.702927484512329
2,1,0.47,5.826889715194702
2,2,0.47,5.802999095916748
3,0,0.47,2.5860128736495973
3,1,0.48,2.9831824111938476
3,2,0.47,2.8440218782424926
4,0,0.74,0.7499540162086487
4,1,0.71,0.901887640953064
4,2,0.68,0.8837750077247619
5,0,0.75,0.7054975152015686
5,1,0.7,0.9097129821777343
5,2,0.76,0.7867176580429077
6,0,0.68,0.9557388925552368
6,1,0.62,1.2454733657836914
6,2,0.7,1.0904538178443908
7,0,0.84,0.40907028436660764
7,1,0.84,0.4858467292785644
7,2,0.81,0.4518505811691284
8,0,0.76,0.7753023910522461
8,1,0.67,1.0064342975616456
8,2,0.72,0.8823630475997924
9,0,0.9,0.3032881009578705
9,1,0.88,0.3464188528060913
9,2,0.86,0.31311763763427736
10,0,0.82,0.5150631189346313
10,1,0.79,0.4909755992889404
10,2,0.83,0.5244774031639099
