round,client_id,accuracy,loss
0,0,0.25,1.0966558980941772
0,1,0.21,1.0991395282745362
1,0,0.47,1.0782922410964966
1,1,0.47,1.0775826978683472
2,0,0.47,3.8543770503997803
2,1,0.47,3.787788219451904
3,0,0.47,3.5542836666107176
3,1,0.47,3.479024958610535
4,0,0.48,1.1307943606376647
4,1,0.5,1.1531076407432557
5,0,0.55,1.1971203947067262
5,1,0.54,1.2307860898971557
6,0,0.53,0.9819901633262634
6,1,0.51,1.0282774674892425
7,0,0.51,1.1878656101226808
7,1,0.51,1.24414612531662
8,0,0.61,0.928781955242157
8,1,0.62,0.9480038034915924
9,0,0.53,1.3056748497486115
9,1,0.55,1.3287584793567657
10,0,0.73,0.7591802883148193
10,1,0.76,0.7140190052986145
