round,client_id,accuracy,loss
0,0,0.23,1.098359136581421
0,1,0.23,1.0978603553771973
1,0,0.46,1.1213925743103028
1,1,0.47,1.1115398979187012
2,0,0.46,3.9731751585006716
2,1,0.47,3.9224109411239625
3,0,0.46,2.8560435342788697
3,1,0.47,2.808995833396912
4,0,0.47,1.8108683800697327
4,1,0.47,1.8122884559631347
5,0,0.48,1.6695605301856995
5,1,0.48,1.6208368730545044
6,0,0.77,0.6420688199996948
6,1,0.76,0.613202977180481
7,0,0.64,0.775861611366272
7,1,0.65,0.6536060667037964
8,0,0.51,1.6665066266059876
8,1,0.48,1.636141948699951
9,0,0.71,0.6957347106933593
9,1,0.79,0.5945342051982879
10,0,0.61,0.7091847372055053
10,1,0.67,0.6209447860717774
