round,client_id,accuracy,loss
0,0,0.23,1.0962666606903075
0,1,0.22,1.1001576328277587
1,0,0.5,1.042028603553772
1,1,0.44,1.1027152776718139
2,0,0.5,3.284160966873169
2,1,0.44,3.596627531051636
3,0,0.5,2.731750235557556
3,1,0.44,3.0576329708099363
4,0,0.5,2.817030305862427
4,1,0.44,3.07206910610199
5,0,0.61,0.8889954948425293
5,1,0.57,1.0267212224006652
6,0,0.65,0.6952444469928741
6,1,0.61,0.81604074716568
7,0,0.68,0.6453887486457824
7,1,0.69,0.6904402351379395
8,0,0.64,0.875870807170868
8,1,0.67,0.9032326924800873
9,0,0.72,0.5718378591537475
9,1,0.72,0.6359494662284851
10,0,0.73,0.594448266029358
10,1,0.71,0.6233461213111877
