round,client_id,accuracy,loss
0,0,0.22,1.098417706489563
0,1,0.22,1.098479709625244
1,0,0.47,1.0907090091705323
1,1,0.47,1.102147958278656
2,0,0.47,3.7402778482437133
2,1,0.47,3.9344611835479735
3,0,0.47,3.1508432626724243
3,1,0.47,3.4427870321273804
4,0,0.47,2.8148749351501463
4,1,0.47,3.087145628929138
5,0,0.52,0.9818397212028503
5,1,0.52,1.1470666241645813
6,0,0.51,1.3889327359199524
6,1,0.48,1.5805299615859985
7,0,0.74,0.566130747795105
7,1,0.7,0.6233376145362854
8,0,0.62,0.8019368004798889
8,1,0.62,0.9155202353000641
9,0,0.78,0.626739673614502
9,1,0.74,0.6463682436943055
10,0,0.47,2.8689792490005495
10,1,0.47,3.166902265548706
