round,client_id,accuracy,loss
0,0,0.21,1.0974313449859618
0,1,0.25,1.0966558980941772
0,2,0.21,1.0991395282745362
1,0,0.5,1.0309109592437744
1,1,0.47,1.0730745577812195
1,2,0.47,1.0684519815444946
2,0,0.5,3.2850775861740114
2,1,0.47,3.5983073806762693
2,2,0.47,3.5177408695220946
3,0,0.5,2.960542984008789
3,1,0.47,3.323272747993469
3,2,0.47,3.2523323011398317
4,0,0.5,1.5912295722961425
4,1,0.47,2.0135003328323364
4,2,0.47,2.005909757614136
5,0,0.55,1.1740919876098632
5,1,0.48,1.5422510194778443
5,2,0.48,1.5327609384059906
6,0,0.62,0.8505686461925507
6,1,0.54,1.1655029010772706
6,2,0.54,1.2315005815029145
7,0,0.7,0.5791691672801972
7,1,0.62,0.7597934937477112
7,2,0.62,0.786768742799759
8,0,0.75,0.5094494533538818
8,1,0.74,0.660452623963356
8,2,0.7,0.6956195437908173
9,0,0.73,0.5192782700061798
9,1,0.69,0.5421591627597809
9,2,0.69,0.5603960347175598
10,0,0.53,1.3597890949249267
10,1,0.48,1.7625089645385743
10,2,0.47,1.8200407552719116
