round,client_id,accuracy,loss
0,0,0.23,1.0962666606903075
0,1,0.22,1.1001576328277587
0,2,0.22,1.0973942279815674
1,0,0.5,1.0430114960670471
1,1,0.44,1.102765350341797
1,2,0.49,1.048971219062805
2,0,0.5,3.207066812515259
2,1,0.44,3.517905764579773
2,2,0.49,3.2398683500289915
3,0,0.5,3.332445888519287
3,1,0.44,3.61266704082489
3,2,0.49,3.362515649795532
4,0,0.5,2.2824572277069093
4,1,0.44,2.496286313533783
4,2,0.49,2.3219848227500917
5,0,0.53,0.8915122270584106
5,1,0.52,1.0645012497901916
5,2,0.55,0.9768687653541565
6,0,0.69,0.6340791112184525
6,1,0.72,0.7450173211097717
6,2,0.73,0.6627351546287537
7,0,0.6,0.832357302904129
7,1,0.55,0.9900291585922241
7,2,0.59,0.8818320322036743
8,0,0.59,0.9578550922870636
8,1,0.58,1.1030219066143037
8,2,0.61,0.9724258017539978
9,0,0.63,0.6868173933029175
9,1,0.58,0.7891893100738525
9,2,0.62,0.6938193988800049
10,0,0.8,0.5085459041595459
10,1,0.76,0.6207705157995224
10,2,0.76,0.58327214717865
