round,client_id,accuracy,loss
0,0,0.21,1.097445421218872
0,1,0.23,1.098359136581421
0,2,0.23,1.0978603553771973
1,0,0.5,1.0875986742973327
1,1,0.46,1.1432415914535523
1,2,0.47,1.1315119123458863
2,0,0.5,3.9693042421340943
2,1,0.46,4.2815848207473755
2,2,0.47,4.2281649684906
3,0,0.5,2.969914689064026
3,1,0.46,3.1864902782440185
3,2,0.47,3.180971384048462
4,0,0.5,2.7720722937583924
4,1,0.46,2.9828633952140806
4,2,0.47,2.950396795272827
5,0,0.5,1.4452853167057038
5,1,0.49,1.5518099677562713
5,2,0.48,1.4930704259872436
6,0,0.51,1.2314420700073243
6,1,0.51,1.3295664978027344
6,2,0.47,1.2559035015106201
7,0,0.6,0.7215699481964112
7,1,0.56,0.791817889213562
7,2,0.58,0.7187726461887359
8,0,0.54,1.0453461194038391
8,1,0.53,1.1265917682647706
8,2,0.5,1.0513210773468018
9,0,0.72,0.758013846874237
9,1,0.66,0.8144476556777954
9,2,0.69,0.7634012436866761
10,0,0.83,0.5334893560409546
10,1,0.77,0.5392881846427917
10,2,0.83,0.4715805697441101
