round,client_id,accuracy,loss
0,0,0.22,1.098417706489563
0,1,0.22,1.098479709625244
0,2,0.22,1.0984298038482665
1,0,0.47,1.049308955669403
1,1,0.47,1.055124945640564
1,2,0.47,1.0519629907608032
2,0,0.47,3.402270727157593
2,1,0.47,3.590183138847351
2,2,0.47,3.5492988061904907
3,0,0.47,3.0638556146621703
3,1,0.47,3.35334734916687
3,2,0.47,3.3175481939315796
4,0,0.48,1.3892740106582642
4,1,0.48,1.5634029912948608
4,2,0.47,1.5941815042495728
5,0,0.47,2.2366941118240358
5,1,0.48,2.4832846546173095
5,2,0.47,2.552033290863037
6,0,0.57,0.8806081771850586
6,1,0.56,1.007623097896576
6,2,0.52,1.0347895169258117
7,0,0.55,0.8808262062072754
7,1,0.55,0.9790453028678894
7,2,0.51,1.0148376417160034
8,0,0.78,0.5503443861007691
8,1,0.73,0.6289103698730468
8,2,0.73,0.6234051012992858
9,0,0.69,0.5995344257354737
9,1,0.67,0.6818759727478028
9,2,0.67,0.68601557970047
10,0,0.74,0.6978778409957885
10,1,0.73,0.6928940868377685
10,2,0.79,0.6020564460754394
