round,client_id,accuracy,loss
0,0,1.0,1.0718253537228233
0,1,1.0,1.0717474392482214
0,2,1.0,1.0718099503290086
1,0,1.0,0.3314881584698096
1,1,1.0,0.3416604484830584
1,2,1.0,0.3376734710875012
2,0,1.0,0.00021981702298206045
2,1,1.0,0.00021599143344376768
2,2,1.0,0.00019736257049122026
3,0,1.0,3.0474549987929935e-08
3,1,1.0,0.0
3,2,1.0,2.838316248698902e-09
4,0,1.0,0.0
4,1,1.0,0.0
4,2,1.0,0.0
5,0,1.0,0.0
5,1,1.0,0.0
5,2,1.0,0.0
6,0,1.0,0.0
6,1,1.0,0.0
6,2,1.0,0.0
7,0,1.0,0.0
7,1,1.0,0.0
7,2,1.0,0.0
8,0,1.0,0.0
8,1,1.0,0.0
8,2,1.0,0.0
9,0,1.0,0.0
9,1,1.0,0.0
9,2,1.0,0.0
10,0,1.0,0.0
10,1,1.0,0.0
10,2,1.0,0.0
