round,client_id,accuracy,loss
0,0,0.22,1.1034814834594726
0,1,0.3,1.0998707151412963
0,2,0.31333333333333335,1.0995967229207357
1,0,0.4,2.035933074951172
1,1,0.49,1.7548917055130004
1,2,0.37333333333333335,2.1393182373046873
2,0,0.4,5.419530181884766
2,1,0.49,4.8681963920593265
2,2,0.37333333333333335,5.867555135091146
3,0,0.4,3.7728453063964844
3,1,0.49,3.5511802291870116
3,2,0.37333333333333335,4.245484873453776
4,0,0.4,1.4388442611694336
4,1,0.5,1.3116130352020263
4,2,0.37333333333333335,1.720266596476237
5,0,0.44,1.24429931640625
5,1,0.5,1.154525136947632
5,2,0.38,1.5345213826497395
6,0,0.66,0.6601889228820801
6,1,0.75,0.601265298128128
6,2,0.6466666666666666,0.7767916107177735
7,0,0.66,0.6312220191955566
7,1,0.71,0.6168063387274743
7,2,0.6466666666666666,0.6336326917012532
8,0,0.6,0.706497802734375
8,1,0.71,0.6296019497513771
8,2,0.64,0.7024527740478516
9,0,0.58,0.7929068756103516
9,1,0.7,0.6452251529693603
9,2,0.5933333333333334,0.8812989044189453
10,0,0.62,0.7064465904235839
10,1,0.68,0.6919655993580818
10,2,0.6933333333333334,0.6551255035400391
