round,client_id,accuracy,loss
0,0,0.31,1.0831443881988525
0,1,0.3466666666666667,1.0902781422932943
1,0,0.55,0.9648425507545472
1,1,0.46,1.1125084686279296
2,0,0.58,0.9158019757270813
2,1,0.5533333333333333,0.9142160415649414
3,0,0.75,0.7536265349388123
3,1,0.6933333333333334,0.7631562169392904
4,0,0.75,0.6282275640964508
4,1,0.7266666666666667,0.6808356348673502
5,0,0.76,0.5950905346870422
5,1,0.74,0.6164559809366862
6,0,0.76,0.6082247745990753
6,1,0.7466666666666667,0.5793427403767903
7,0,0.81,0.4675649964809418
7,1,0.8333333333333334,0.4812112236022949
8,0,0.82,0.4382413899898529
8,1,0.86,0.4583982849121094
9,0,0.83,0.41679212033748625
9,1,0.8533333333333334,0.4433380381266276
10,0,0.81,0.4044252413511276
10,1,0.8333333333333334,0.42083067893981935
