round,client_id,accuracy,loss
0,0,0.35,1.0826375770568848
0,1,0.37,1.0898101139068603
1,0,0.62,1.0984790420532227
1,1,0.63,1.1073121070861816
2,0,0.78,0.7726977276802063
2,1,0.76,0.7922178173065185
3,0,0.72,0.6948635339736938
3,1,0.72,0.6539296507835388
4,0,0.77,0.604898419380188
4,1,0.71,0.5848432803153991
5,0,0.76,0.6141491150856018
5,1,0.78,0.6071043348312378
6,0,0.74,0.5857176280021668
6,1,0.78,0.6171944403648376
7,0,0.78,0.5438469648361206
7,1,0.79,0.545856523513794
8,0,0.77,0.5630394721031189
8,1,0.72,0.6303892660140992
9,0,0.79,0.5231246566772461
9,1,0.78,0.4797676038742065
10,0,0.77,0.5062439584732056
10,1,0.78,0.4888332939147949
