round,client_id,accuracy,loss
0,0,0.29,1.1079415559768677
0,1,0.28,1.1076301145553589
1,0,0.58,0.9050595855712891
1,1,0.54,0.9755585074424744
2,0,0.72,0.7336615943908691
2,1,0.66,0.8165497398376464
3,0,0.72,0.7287627291679383
3,1,0.66,0.7735068130493165
4,0,0.76,0.6231085991859436
4,1,0.7,0.6801120829582215
5,0,0.79,0.5451014304161071
5,1,0.7,0.5838842844963074
6,0,0.68,0.64900226354599
6,1,0.66,0.7300880753993988
7,0,0.77,0.5309837520122528
7,1,0.73,0.5742070043087005
8,0,0.82,0.4555391436815262
8,1,0.77,0.5457460629940033
9,0,0.79,0.4774965488910675
9,1,0.72,0.5442783451080322
10,0,0.81,0.48620044231414794
10,1,0.76,0.5416422295570373
