round,client_id,accuracy,loss
0,0,0.27,1.118704252243042
0,1,0.34,1.1001959800720216
1,0,0.65,0.8033002042770385
1,1,0.62,0.877769124507904
2,0,0.64,0.8425571250915528
2,1,0.54,0.9336809730529785
3,0,0.74,0.6393253803253174
3,1,0.75,0.6775310420989991
4,0,0.75,0.6639848303794861
4,1,0.68,0.7086604785919189
5,0,0.76,0.6024191164970398
5,1,0.69,0.6288025665283203
6,0,0.74,0.5468047165870666
6,1,0.73,0.6291563844680786
7,0,0.81,0.524976658821106
7,1,0.81,0.542993516921997
8,0,0.79,0.4946213889122009
8,1,0.81,0.536510124206543
9,0,0.8,0.4874176442623138
9,1,0.74,0.5528563940525055
10,0,0.77,0.4771349620819092
10,1,0.8,0.5359309911727905
