round,client_id,accuracy,loss
0,0,0.31,1.1022711086273194
0,1,0.31,1.0980375480651856
1,0,0.51,0.9524382019042968
1,1,0.51,0.9753652954101563
2,0,0.63,0.8341114139556884
2,1,0.58,0.8382244288921357
3,0,0.72,0.7076198625564575
3,1,0.75,0.7021593451499939
4,0,0.73,0.6472156190872193
4,1,0.77,0.6268935751914978
5,0,0.79,0.5552152299880981
5,1,0.84,0.5240816235542297
6,0,0.66,0.7236929893493652
6,1,0.66,0.689000551700592
7,0,0.75,0.5551777410507203
7,1,0.81,0.5121890306472778
8,0,0.78,0.5170968532562256
8,1,0.86,0.4424049973487854
9,0,0.75,0.5538690567016602
9,1,0.8,0.5166548991203308
10,0,0.78,0.5176282453536988
10,1,0.82,0.4385097503662109
