round,client_id,accuracy,loss
0,0,0.29,1.1280392074584962
0,1,0.27,1.1261077117919922
0,2,0.3,1.127735538482666
1,0,0.32,1.1167669773101807
1,1,0.32,1.1432894468307495
1,2,0.31,1.1070657062530518
2,0,0.64,0.7714379584789276
2,1,0.58,0.8622545576095582
2,2,0.59,0.7671185517311097
3,0,0.75,0.6848352634906769
3,1,0.69,0.7482563865184784
3,2,0.74,0.6674586153030395
4,0,0.79,0.5519952082633972
4,1,0.75,0.6160633361339569
4,2,0.84,0.5266946041584015
5,0,0.78,0.524445743560791
5,1,0.76,0.5948631119728088
5,2,0.84,0.490545357465744
6,0,0.81,0.4986418652534485
6,1,0.78,0.5599618744850159
6,2,0.88,0.4554367303848267
7,0,0.83,0.494503036737442
7,1,0.78,0.5481365203857422
7,2,0.87,0.44692920207977294
8,0,0.86,0.4408383774757385
8,1,0.76,0.5047894322872162
8,2,0.86,0.403961620926857
9,0,0.85,0.4257911539077759
9,1,0.78,0.49526398777961733
9,2,0.89,0.382388721704483
10,0,0.83,0.4234063267707825
10,1,0.8,0.5249199497699738
10,2,0.89,0.38584827005863187
