round,client_id,accuracy,loss
0,0,0.27,1.118704252243042
0,1,0.34,1.1001959800720216
0,2,0.28,1.1039599800109863
1,0,0.57,0.9041326999664306
1,1,0.47,0.9775731015205383
1,2,0.57,0.916602234840393
2,0,0.72,0.7302761602401734
2,1,0.73,0.7593084526062012
2,2,0.72,0.7078881275653839
3,0,0.66,0.7520708131790161
3,1,0.58,0.7873296928405762
3,2,0.69,0.6897454023361206
4,0,0.77,0.5755261373519898
4,1,0.77,0.6495860815048218
4,2,0.8,0.5473823344707489
5,0,0.78,0.5247341358661651
5,1,0.7,0.6024343717098236
5,2,0.74,0.5204001617431641
6,0,0.79,0.49858300924301147
6,1,0.83,0.5566655206680298
6,2,0.85,0.45768487215042114
7,0,0.76,0.4922241926193237
7,1,0.78,0.5323171472549438
7,2,0.86,0.4120497447252274
8,0,0.79,0.4742346715927124
8,1,0.78,0.5492112112045288
8,2,0.82,0.4374401092529297
9,0,0.82,0.42436091184616087
9,1,0.85,0.48313396811485293
9,2,0.86,0.3679245209693909
10,0,0.83,0.4347399735450745
10,1,0.77,0.5127443599700928
10,2,0.85,0.39249319076538086
