round,client_id,accuracy,loss
0,0,0.29,1.1061630058288574
0,1,0.31,1.0965704727172851
0,2,0.3,1.1034305238723754
1,0,0.58,0.8657436680793762
1,1,0.61,0.9089690518379211
1,2,0.58,0.892431664466858
2,0,0.69,0.8396335649490356
2,1,0.72,0.8078430819511414
2,2,0.63,0.8082103300094604
3,0,0.66,0.7325758314132691
3,1,0.68,0.7025774717330933
3,2,0.7,0.7132841157913208
4,0,0.74,0.6649060988426209
4,1,0.79,0.5961135149002075
4,2,0.75,0.6247125124931335
5,0,0.73,0.6905368137359619
5,1,0.77,0.6070085787773132
5,2,0.78,0.620640037059784
6,0,0.79,0.5615596842765808
6,1,0.84,0.4750403892993927
6,2,0.78,0.5249921917915344
7,0,0.78,0.5545807766914368
7,1,0.86,0.4559554839134216
7,2,0.78,0.5137543177604675
8,0,0.76,0.5547460103034973
8,1,0.85,0.439345691204071
8,2,0.8,0.5276451420783996
9,0,0.75,0.523551230430603
9,1,0.86,0.42494028091430663
9,2,0.81,0.47985450744628905
10,0,0.8,0.5275975751876831
10,1,0.84,0.4400925534963608
10,2,0.82,0.49859497308731077
