round,client_id,accuracy,loss
0,0,0.31,1.1022711086273194
0,1,0.31,1.0980375480651856
0,2,0.31,1.1119839000701903
1,0,0.52,0.9295171022415161
1,1,0.56,0.9036634922027588
1,2,0.57,0.9610136103630066
2,0,0.68,0.7737433004379273
2,1,0.78,0.7526205921173096
2,2,0.68,0.7780946969985962
3,0,0.72,0.685931167602539
3,1,0.74,0.6638347434997559
3,2,0.69,0.6919845199584961
4,0,0.73,0.6269179725646973
4,1,0.75,0.6264449405670166
4,2,0.76,0.6332696890830993
5,0,0.74,0.622488055229187
5,1,0.76,0.6137783479690552
5,2,0.76,0.6351176106929779
6,0,0.79,0.5522931241989135
6,1,0.82,0.4845469641685486
6,2,0.77,0.532512571811676
7,0,0.77,0.5380926370620728
7,1,0.82,0.5221384143829346
7,2,0.8,0.549260573387146
8,0,0.81,0.4899559211730957
8,1,0.81,0.44211875677108764
8,2,0.76,0.4837225031852722
9,0,0.8,0.4594572877883911
9,1,0.86,0.4171854734420776
9,2,0.82,0.4710374009609222
10,0,0.85,0.4775593948364258
10,1,0.84,0.447798091173172
10,2,0.81,0.4663813471794128
