round,client_id,accuracy,loss
0,0,0.5,1.0980295372009277
0,1,0.47,1.0980182456970216
0,2,0.47,1.0982819938659667
1,0,0.5,1.4417607688903809
1,1,0.47,1.5012153434753417
1,2,0.47,1.5269869422912599
2,0,0.5,1.3776632738113403
2,1,0.47,1.4246938347816467
2,2,0.47,1.4590871548652649
3,0,0.5,1.161403398513794
3,1,0.47,1.1908620119094848
3,2,0.47,1.2161652636528015
4,0,0.5,1.3155541276931764
4,1,0.47,1.3688563656806947
4,2,0.47,1.3898936939239501
5,0,0.5,1.4601251077651978
5,1,0.47,1.5947550749778747
5,2,0.47,1.576046380996704
6,0,0.7,0.7719026160240173
6,1,0.56,1.2327234947681427
6,2,0.61,1.0545661735534668
7,0,0.72,0.8341035509109497
7,1,0.76,0.6631791394948959
7,2,0.81,0.5431808811426163
8,0,0.75,0.6354040604829788
8,1,0.77,0.6096475952863694
8,2,0.8,0.5418135595321655
9,0,0.79,0.5836316825449467
9,1,0.75,0.5874977743625641
9,2,0.85,0.3691890233755112
10,0,0.77,0.6053421417344361
10,1,0.73,0.579927499294281
10,2,0.8,0.4448577030003071
