round,client_id,accuracy,loss
0,0,0.23,1.0984795808792114
0,1,0.22,1.0994988298416137
0,2,0.22,1.0988187074661255
1,0,0.5,1.2889354467391967
1,1,0.44,1.4382639455795287
1,2,0.49,1.3186939001083373
2,0,0.5,1.3859272193908692
2,1,0.44,1.5501914143562316
2,2,0.49,1.4173454236984253
3,0,0.5,1.6031658172607421
3,1,0.44,1.7993836617469787
3,2,0.49,1.6392946672439574
4,0,0.5,2.1841272211074827
4,1,0.44,2.4378692150115966
4,2,0.49,2.2231325912475586
5,0,0.5,2.7775746154785157
5,1,0.44,3.148483867645264
5,2,0.49,2.843716926574707
6,0,0.65,0.9616276550292969
6,1,0.52,1.4063289868831634
6,2,0.57,1.3522214937210082
7,0,0.78,0.49483802616596223
7,1,0.74,0.8824355787038803
7,2,0.75,0.8298158526420594
8,0,0.75,0.5354200339317322
8,1,0.75,0.5945249000191688
8,2,0.78,0.5938406467437745
9,0,0.87,0.4553531500697136
9,1,0.76,0.8642844793200493
9,2,0.74,0.7986918389797211
10,0,0.81,0.47374044805765153
10,1,0.85,0.5191892999410629
10,2,0.84,0.5862139070034027
