round,client_id,accuracy,loss
0,0,0.21,1.0988858079910278
0,1,0.23,1.0990236711502075
0,2,0.23,1.0988876390457154
1,0,0.5,1.2076959323883056
1,1,0.46,1.2798706912994384
1,2,0.47,1.259826250076294
2,0,0.5,1.2759478640556337
2,1,0.46,1.3582066488265991
2,2,0.47,1.335653886795044
3,0,0.5,1.243572828769684
3,1,0.46,1.3232371830940246
3,2,0.47,1.3025498723983764
4,0,0.5,1.503961856365204
4,1,0.46,1.612529456615448
4,2,0.47,1.583908884525299
5,0,0.5,2.441843295097351
5,1,0.46,2.603414764404297
5,2,0.47,2.562552638053894
6,0,0.55,1.1298324847221375
6,1,0.54,1.1965921115875244
6,2,0.51,1.2845582270622253
7,0,0.78,0.5624778270721436
7,1,0.73,0.6077425241470337
7,2,0.76,0.5892457604408264
8,0,0.73,0.7723522472381592
8,1,0.73,0.7421918678283691
8,2,0.73,0.7300199699401856
9,0,0.8,0.628291848897934
9,1,0.81,0.5367809921503067
9,2,0.81,0.5976915454864502
10,0,0.72,0.7810250854492188
10,1,0.83,0.43479195952415467
10,2,0.79,0.6516316342353821
