round,client_id,accuracy,loss
0,0,0.22,1.09909077167511
0,1,0.22,1.09909077167511
0,2,0.22,1.09909077167511
1,0,0.47,1.4313776659965516
1,1,0.47,1.4313777422904967
1,2,0.47,1.4313777041435243
2,0,0.47,1.6742741680145263
2,1,0.47,1.6742742538452149
2,2,0.47,1.6742741203308105
3,0,0.47,1.6980937218666077
3,1,0.47,1.698093385696411
3,2,0.47,1.6981089687347413
4,0,0.47,2.4258135986328124
4,1,0.47,2.426703519821167
4,2,0.47,2.4260059881210325
5,0,0.47,3.2084713840484618
5,1,0.47,3.278150815963745
5,2,0.47,3.2754952335357665
6,0,0.62,0.9794127321243287
6,1,0.58,1.1985484647750855
6,2,0.54,1.2985214436054229
7,0,0.79,0.5164690923690796
7,1,0.83,0.5305462050437927
7,2,0.75,0.6085699367523193
8,0,0.77,0.8111728286743164
8,1,0.68,1.0590905928611756
8,2,0.76,0.8790049695968628
9,0,0.78,0.5357425999641419
9,1,0.79,0.6744383096694946
9,2,0.72,0.7097104454040527
10,0,0.84,0.4453458547592163
10,1,0.75,0.6043494129180909
10,2,0.79,0.4718001937866211
