round,client_id,accuracy,loss
0,0,0.0,1.1166514131359588
0,1,0.0,1.116651421501523
0,2,0.0,1.116651421501523
1,0,1.0,0.019004406393470622
1,1,1.0,0.019004406318778082
1,2,1.0,0.019004406318778082
2,0,1.0,9.298280929215252e-06
2,1,1.0,9.298280929215252e-06
2,2,1.0,9.298280929215252e-06
3,0,1.0,1.192092822850811e-07
3,1,1.0,1.1920928143029284e-07
3,2,1.0,1.1920928143029284e-07
4,0,1.0,2.384185645701622e-07
4,1,1.0,2.3841856286058567e-07
4,2,1.0,2.3841856286058567e-07
5,0,1.0,2.4110748565595386e-07
5,1,1.0,2.440951848690193e-07
5,2,1.0,2.3841856286058567e-07
6,0,1.0,0.0
6,1,1.0,0.0
6,2,1.0,0.0
7,0,1.0,0.0
7,1,1.0,0.0
7,2,1.0,0.0
8,0,1.0,0.0
8,1,1.0,0.0
8,2,1.0,0.0
9,0,1.0,0.0
9,1,1.0,0.0
9,2,1.0,0.0
10,0,1.0,0.0
10,1,1.0,0.0
10,2,1.0,0.0
