round,client_id,accuracy,loss
0,0,0.38,1.0967932510375977
0,1,0.21,1.0990218019485474
0,2,0.31333333333333335,1.0985100046793619
1,0,0.4,1.3550840377807618
1,1,0.49,1.2016128420829773
1,2,0.37333333333333335,1.4070482126871744
2,0,0.4,1.3091526412963868
2,1,0.49,1.1885912227630615
2,2,0.37333333333333335,1.3741305287679035
3,0,0.4,1.4049507141113282
3,1,0.49,1.2996062278747558
3,2,0.37333333333333335,1.5069659169514973
4,0,0.4,2.2262769317626954
4,1,0.49,2.012272915840149
4,2,0.37333333333333335,2.4091140747070314
5,0,0.4,3.0263036346435546
5,1,0.49,2.6059333753585814
5,2,0.37333333333333335,3.280068206787109
6,0,0.72,0.7198471260070801
6,1,0.74,0.6310773831605911
6,2,0.68,0.8032464218139649
7,0,0.76,0.4855481243133545
7,1,0.68,0.9222344708442688
7,2,0.6333333333333333,0.8354336802164714
8,0,0.82,0.35600675582885744
8,1,0.73,0.6777416640520095
8,2,0.7733333333333333,0.4983061345418294
9,0,0.82,0.36816571235656737
9,1,0.78,0.5911510848999023
9,2,0.7866666666666666,0.5107087198893229
10,0,0.74,0.6231587028503418
10,1,0.8,0.5539656589925289
10,2,0.78,0.7128000577290853
