round,client_id,accuracy,loss
0,0,0.21,1.1968663024902344
0,1,0.25,1.1758613586425781
0,2,0.21,1.1992921447753906
1,0,0.5,4.870008296966553
1,1,0.47,5.240043230056763
1,2,0.47,5.193628053665162
2,0,0.51,1.554791476726532
2,1,0.47,1.8265967273712158
2,2,0.47,1.793723819255829
3,0,0.85,0.4648349320888519
3,1,0.72,0.6704531073570251
3,2,0.79,0.5346638643741608
4,0,0.69,0.8226729702949523
4,1,0.64,0.8846071863174438
4,2,0.65,0.7675343477725982
5,0,0.68,0.8972894334793091
5,1,0.67,0.9230050230026245
5,2,0.65,0.8379405808448791
6,0,0.78,0.5431781163811684
6,1,0.73,0.8523186755180359
6,2,0.76,0.6460523462295532
7,0,0.7,0.909061131477356
7,1,0.73,0.7504010319709777
7,2,0.77,0.5634589910507202
8,0,0.83,0.6333220833539963
8,1,0.75,0.6150947690010071
8,2,0.8,0.45520907163619995
9,0,0.76,0.7043846093118191
9,1,0.78,0.5901812255382538
9,2,0.83,0.4695371127128601
10,0,0.76,0.9191589856147766
10,1,0.71,1.0475717711448669
10,2,0.74,0.7568471670150757
