round,client_id,accuracy,loss
0,0,0.5,1.065679144859314
0,1,0.44,1.1073485350608825
0,2,0.49,1.0739244246482849
1,0,0.5,3.3520798969268797
1,1,0.44,3.7627151679992674
1,2,0.49,3.408581519126892
2,0,0.5,4.0452958106994625
2,1,0.44,4.606484317779541
2,2,0.49,4.158411855697632
3,0,0.51,2.7182336711883544
3,1,0.45,3.1741491842269896
3,2,0.49,2.9877725219726563
4,0,0.68,1.1518976068496705
4,1,0.62,1.4260148620605468
4,2,0.65,1.3974800682067872
5,0,0.59,1.0736711025238037
5,1,0.64,0.9341799688339233
5,2,0.66,1.1037083220481874
6,0,0.64,1.3517718839645385
6,1,0.53,1.6939378929138185
6,2,0.56,1.7497089529037475
7,0,0.68,1.1284500932693482
7,1,0.7,0.8581796360015869
7,2,0.68,0.839358639717102
8,0,0.85,0.5002094379067421
8,1,0.77,0.7802718710899353
8,2,0.81,0.6695209151506424
9,0,0.76,0.8395429754257202
9,1,0.82,0.5884194231033325
9,2,0.78,0.6417347133159638
10,0,0.78,0.6844509172439576
10,1,0.73,0.9889897871017456
10,2,0.75,1.042119070291519
