round,client_id,accuracy,loss
0,0,0.21,1.1988802289962768
0,1,0.23,1.189366912841797
0,2,0.23,1.1875178050994872
1,0,0.5,10.788490810394286
1,1,0.46,11.639697723388672
1,2,0.47,11.51177972793579
2,0,0.5,6.093621730804443
2,1,0.46,6.398202314376831
2,2,0.47,6.446558322906494
3,0,0.63,1.1681822991371156
3,1,0.61,1.2611044812202454
3,2,0.6,1.234866955280304
4,0,0.59,1.1799392557144166
4,1,0.61,1.2166070759296417
4,2,0.62,1.179153196811676
5,0,0.61,1.0948969626426697
5,1,0.58,1.361686150431633
5,2,0.7,0.8661571788787842
6,0,0.73,0.997776311635971
6,1,0.69,1.2214786338806152
6,2,0.75,0.8798122906684875
7,0,0.76,0.7161359000205993
7,1,0.79,0.565993031412363
7,2,0.8,0.5909948825836182
8,0,0.77,0.5572071743011474
8,1,0.8,0.5221308743953705
8,2,0.83,0.4513348960876465
9,0,0.77,0.6917503786087036
9,1,0.83,0.6406349956989288
9,2,0.81,0.5759808921813965
10,0,0.81,0.5720591533184052
10,1,0.83,0.6806044966727495
10,2,0.82,0.4227500319480896
