round,client_id,accuracy,loss
0,0,0.0,1.1069937110843515
0,1,0.0,1.1203962507702054
0,2,0.0,1.1187610853286016
1,0,1.0,1.7988931812622577e-06
1,1,1.0,1.8974124465049022e-06
1,2,1.0,1.62067724540109e-06
2,0,1.0,4.48155191820558e-09
2,1,1.0,0.0
2,2,1.0,0.0
3,0,1.0,0.0
3,1,1.0,0.0
3,2,1.0,0.0
4,0,1.0,0.0
4,1,1.0,0.0
4,2,1.0,0.0
5,0,1.0,0.0
5,1,1.0,0.0
5,2,1.0,0.0
6,0,1.0,0.0
6,1,1.0,0.0
6,2,1.0,0.0
7,0,1.0,0.0
7,1,1.0,0.0
7,2,1.0,0.0
8,0,1.0,0.0
8,1,1.0,0.0
8,2,1.0,0.0
9,0,1.0,0.0
9,1,1.0,0.0
9,2,1.0,0.0
10,0,1.0,0.0
10,1,1.0,0.0
10,2,1.0,0.0
