round,client_id,accuracy,loss
0,0,0.38,1.093542022705078
0,1,0.21,1.198634729385376
0,2,0.31333333333333335,1.1416917165120444
1,0,0.4,6.997705383300781
1,1,0.49,5.703241443634033
1,2,0.37333333333333335,7.15552968343099
2,0,0.4,3.056255569458008
2,1,0.49,2.4860589790344236
2,2,0.37333333333333335,3.1407188415527343
3,0,0.56,1.3284152793884276
3,1,0.56,1.7464486980438232
3,2,0.4533333333333333,2.0088993326822915
4,0,0.88,0.3705232810974121
4,1,0.83,0.5542147201299668
4,2,0.7133333333333334,0.7171147664388021
5,0,0.84,0.43949993133544923
5,1,0.83,0.3833078217506409
5,2,0.8,0.46792548497517905
6,0,0.8,0.5048341369628906
6,1,0.75,0.8233298659324646
6,2,0.76,0.718148193359375
7,0,0.88,0.2618751335144043
7,1,0.93,0.26293672202154994
7,2,0.9133333333333333,0.22251592953999838
8,0,0.8,0.46551210403442383
8,1,0.73,0.656909351348877
8,2,0.8066666666666666,0.5910628255208333
9,0,0.92,0.278432035446167
9,1,0.91,0.25385925084352495
9,2,0.8666666666666667,0.3424659252166748
10,0,0.84,0.30522076606750487
10,1,0.82,0.4051799647137523
10,2,0.7666666666666667,0.496243896484375
