round,client_id,accuracy,loss
0,0,0.21,1.0974313449859618
0,1,0.25,1.0966558980941772
0,2,0.21,1.0991395282745362
1,0,0.5,1.0410175681114198
1,1,0.47,1.0930834031105041
1,2,0.47,1.0822260522842406
2,0,0.5,3.207842483520508
2,1,0.47,3.5078087997436525
2,2,0.47,3.4318229866027834
3,0,0.5,3.0169741249084474
3,1,0.47,3.3966272115707397
3,2,0.47,3.302088499069214
4,0,0.5,1.4425278854370118
4,1,0.47,1.9052397871017457
4,2,0.47,1.8734527182579042
5,0,0.51,1.428014476299286
5,1,0.47,1.8464347076416017
5,2,0.47,1.8574928259849548
6,0,0.74,0.5635330057144166
6,1,0.71,0.6979473948478698
6,2,0.71,0.6741999274492264
7,0,0.77,0.535002326965332
7,1,0.77,0.6027759331464767
7,2,0.75,0.5862187910079956
8,0,0.62,0.839673376083374
8,1,0.51,1.1841209435462952
8,2,0.54,1.2387626731395722
9,0,0.74,0.6246175241470336
9,1,0.8,0.5117700850963592
9,2,0.79,0.5111536681652069
10,0,0.74,0.5174466574192047
10,1,0.72,0.5438365435600281
10,2,0.72,0.5713103687763215
