round,client_id,accuracy,loss
0,0,0.23,1.0962666606903075
0,1,0.22,1.1001576328277587
0,2,0.22,1.0973942279815674
1,0,0.5,1.07513254404068
1,1,0.44,1.1503618168830871
1,2,0.49,1.082607126235962
2,0,0.5,3.4307847738265993
2,1,0.44,3.7455985879898073
2,2,0.49,3.457654037475586
3,0,0.5,2.8042873191833495
3,1,0.44,3.049525694847107
3,2,0.49,2.8348335456848144
4,0,0.54,1.241254242658615
4,1,0.46,1.4355352783203126
4,2,0.53,1.3038144207000733
5,0,0.6,0.8775517094135284
5,1,0.58,1.031697062253952
5,2,0.58,0.9321766817569732
6,0,0.54,1.065826847553253
6,1,0.53,1.1828363239765167
6,2,0.55,1.0762849426269532
7,0,0.71,0.6340134227275849
7,1,0.69,0.7737608563899994
7,2,0.68,0.6930487215518951
8,0,0.65,0.7846489012241363
8,1,0.65,0.9339011704921723
8,2,0.67,0.823897374868393
9,0,0.72,0.5625911796092987
9,1,0.7,0.6019866454601288
9,2,0.68,0.5946871399879455
10,0,0.71,0.676874695122242
10,1,0.74,0.8726128971576691
10,2,0.71,0.7714484202861785
