round,client_id,accuracy,loss
0,0,0.21,1.097445421218872
0,1,0.23,1.098359136581421
0,2,0.23,1.0978603553771973
1,0,0.5,1.0558572602272034
1,1,0.46,1.1027778148651124
1,2,0.47,1.0935442209243775
2,0,0.5,3.5367674016952515
2,1,0.46,3.8217191171646117
2,2,0.47,3.770453872680664
3,0,0.5,2.856534173488617
3,1,0.46,3.088750886917114
3,2,0.47,3.052086925506592
4,0,0.5,2.9158482193946837
4,1,0.46,3.1864538383483887
4,2,0.47,3.101422891616821
5,0,0.54,1.0118339300155639
5,1,0.56,1.0784510707855224
5,2,0.51,1.0381581115722656
6,0,0.51,1.1073582923412324
6,1,0.52,1.1909619688987731
6,2,0.48,1.1214728474617004
7,0,0.69,0.6190984010696411
7,1,0.62,0.6645226621627808
7,2,0.71,0.622065224647522
8,0,0.5,2.1988696575164797
8,1,0.47,2.341346786022186
8,2,0.47,2.3218282747268675
9,0,0.5,1.112180061340332
9,1,0.52,1.0868022918701172
9,2,0.5,1.0893062114715577
10,0,0.51,1.2465448331832887
10,1,0.52,1.363270672559738
10,2,0.49,1.2465256452560425
