round,client_id,accuracy,loss
0,0,0.22,1.098417706489563
0,1,0.22,1.098479709625244
0,2,0.22,1.0984298038482665
1,0,0.47,1.0645906257629394
1,1,0.47,1.0726205253601073
1,2,0.47,1.0683124494552612
2,0,0.47,3.4332350444793702
2,1,0.47,3.6231612730026246
2,2,0.47,3.584688596725464
3,0,0.47,3.3729209089279175
3,1,0.47,3.7193874502182007
3,2,0.47,3.6845200300216674
4,0,0.47,2.101578712463379
4,1,0.48,2.3364231538772584
4,2,0.47,2.3834289121627807
5,0,0.48,1.772339859008789
5,1,0.48,2.0206704425811766
5,2,0.47,2.0767082500457765
6,0,0.47,1.5672256422042847
6,1,0.48,1.786504077911377
6,2,0.47,1.856917643547058
7,0,0.72,0.6715637135505677
7,1,0.65,0.7921239459514617
7,2,0.61,0.7975118017196655
8,0,0.72,0.5825076627731324
8,1,0.69,0.6057130599021912
8,2,0.68,0.6285920286178589
9,0,0.73,0.6500127279758453
9,1,0.7,0.7592985153198242
9,2,0.66,0.8246142387390136
10,0,0.69,0.6178618013858795
10,1,0.68,0.6807950830459595
10,2,0.66,0.7553120625019073
