round,client_id,accuracy,loss
0,0,1.0,1.032041277204241
0,1,1.0,1.0320959318251837
0,2,1.0,1.0320707729884557
1,0,1.0,0.3227371416593853
1,1,1.0,0.32286585512615384
1,2,1.0,0.3082877056939261
2,0,1.0,0.0002596323733757201
2,1,1.0,0.00018835570552341995
2,2,1.0,0.0001441759328978757
3,0,1.0,3.5852415773038763e-09
3,1,1.0,4.257474373048353e-09
3,2,1.0,1.419158124349451e-09
4,0,1.0,0.0
4,1,1.0,0.0
4,2,1.0,0.0
5,0,1.0,0.0
5,1,1.0,0.0
5,2,1.0,0.0
6,0,1.0,0.0
6,1,1.0,0.0
6,2,1.0,0.0
7,0,1.0,0.0
7,1,1.0,0.0
7,2,1.0,0.0
8,0,1.0,0.0
8,1,1.0,0.0
8,2,1.0,0.0
9,0,1.0,0.0
9,1,1.0,0.0
9,2,1.0,0.0
10,0,1.0,0.0
10,1,1.0,0.0
10,2,1.0,0.0
