round,client_id,accuracy,loss
0,0,0.38,1.0926123809814454
0,1,0.21,1.097962875366211
0,2,0.31333333333333335,1.0980202865600586
1,0,0.4,1.3357618713378907
1,1,0.49,1.1630144548416137
1,2,0.37333333333333335,1.3739355214436848
2,0,0.4,3.374529800415039
2,1,0.49,2.9063617467880247
2,2,0.37333333333333335,3.5748816935221353
3,0,0.4,3.0878546142578127
3,1,0.49,2.6517527961730956
3,2,0.37333333333333335,3.312226104736328
4,0,0.4,2.177784271240234
4,1,0.49,1.7779364109039306
4,2,0.38,2.402463607788086
5,0,0.44,1.1941705322265626
5,1,0.5,1.0728294849395752
5,2,0.38666666666666666,1.435606486002604
6,0,0.66,0.5967871665954589
6,1,0.77,0.5475727140903472
6,2,0.6866666666666666,0.7193827184041341
7,0,0.42,1.77513427734375
7,1,0.52,1.3156572771072388
7,2,0.4266666666666667,1.8376668548583985
8,0,0.72,0.5744866943359375
8,1,0.78,0.5404040512442588
8,2,0.7,0.7141172281901041
9,0,0.74,0.5632609748840331
9,1,0.75,0.6333369255065918
9,2,0.7933333333333333,0.6053115208943685
10,0,0.5,0.9452859306335449
10,1,0.62,0.9317077624797822
10,2,0.5333333333333333,1.2456681823730469
