round,client_id,accuracy,loss
0,0,0.29,1.1079415559768677
0,1,0.28,1.1076301145553589
0,2,0.32,1.1008352088928222
1,0,0.58,0.931294150352478
1,1,0.57,0.9936205077171326
1,2,0.59,0.9201048374176025
2,0,0.69,0.74518634557724
2,1,0.63,0.8182986426353455
2,2,0.72,0.7203803873062133
3,0,0.77,0.6530077290534974
3,1,0.74,0.7211691272258759
3,2,0.8,0.6173779773712158
4,0,0.77,0.6111338007450103
4,1,0.71,0.6655745077133178
4,2,0.82,0.5464154767990113
5,0,0.79,0.546431143283844
5,1,0.72,0.6059453237056732
5,2,0.85,0.479281405210495
6,0,0.81,0.5260344576835633
6,1,0.76,0.572503297328949
6,2,0.83,0.46008891582489014
7,0,0.8,0.46078351497650144
7,1,0.77,0.5621361434459686
7,2,0.87,0.41212318420410154
8,0,0.8,0.5072513771057129
8,1,0.74,0.5473806631565094
8,2,0.82,0.4292071986198425
9,0,0.84,0.44520897150039673
9,1,0.79,0.522063022851944
9,2,0.87,0.3945037180185318
10,0,0.81,0.4637144434452057
10,1,0.74,0.5277045083045959
10,2,0.81,0.4020310091972351
