round,client_id,accuracy,loss
0,0,0.27,1.0852645492553712
0,1,0.33,1.076920313835144
0,2,0.3,1.0867419004440309
1,0,0.63,0.8940310001373291
1,1,0.57,0.9465929961204529
1,2,0.6,0.9224641799926758
2,0,0.73,0.8513721251487731
2,1,0.75,0.8646532487869263
2,2,0.7,0.8530803060531617
3,0,0.73,0.7081438446044922
3,1,0.72,0.7527038812637329
3,2,0.74,0.711055850982666
4,0,0.77,0.6671394073963165
4,1,0.74,0.6793022680282593
4,2,0.73,0.660210235118866
5,0,0.83,0.6299923264980316
5,1,0.77,0.647203438282013
5,2,0.74,0.6268209004402161
6,0,0.79,0.5535939037799835
6,1,0.8,0.5915434002876282
6,2,0.75,0.5461309504508972
7,0,0.79,0.5607628643512725
7,1,0.81,0.5671416521072388
7,2,0.79,0.5361887836456298
8,0,0.77,0.5399709069728851
8,1,0.8,0.5801279258728027
8,2,0.76,0.5370329475402832
9,0,0.8,0.5148551201820374
9,1,0.8,0.5340059220790863
9,2,0.74,0.517061607837677
10,0,0.81,0.48769248962402345
10,1,0.83,0.49657569408416746
10,2,0.82,0.4552734279632568
