round,client_id,accuracy,loss
0,0,0.29,1.1061630058288574
0,1,0.31,1.0965704727172851
0,2,0.3,1.1034305238723754
1,0,0.56,0.8894784235954285
1,1,0.58,0.9496715235710144
1,2,0.57,0.9302806043624878
2,0,0.71,0.8426927709579468
2,1,0.7,0.8228009176254273
2,2,0.73,0.8156731581687927
3,0,0.72,0.7003275632858277
3,1,0.69,0.6696900677680969
3,2,0.71,0.6623172211647034
4,0,0.72,0.7762915658950805
4,1,0.72,0.710314370393753
4,2,0.75,0.7044736528396607
5,0,0.78,0.5968293690681458
5,1,0.78,0.516882273554802
5,2,0.76,0.5734147882461548
6,0,0.77,0.6042920064926147
6,1,0.8,0.5307104659080505
6,2,0.79,0.5641693425178528
7,0,0.79,0.5363258862495422
7,1,0.79,0.45493669986724855
7,2,0.8,0.5047968125343323
8,0,0.81,0.5495855522155761
8,1,0.82,0.47270005822181704
8,2,0.82,0.5240770769119263
9,0,0.78,0.5058536195755005
9,1,0.88,0.41456439793109895
9,2,0.78,0.5068573212623596
10,0,0.76,0.5797996401786805
10,1,0.76,0.47922594726085666
10,2,0.82,0.4971047830581665
