round,client_id,accuracy,loss
0,0,0.31,1.1022711086273194
0,1,0.31,1.0980375480651856
0,2,0.31,1.1119839000701903
1,0,0.56,0.8822356796264649
1,1,0.54,0.8735263395309448
1,2,0.57,0.9387684917449951
2,0,0.62,0.8819593954086303
2,1,0.65,0.8845924353599548
2,2,0.61,0.8992676496505737
3,0,0.73,0.6689145183563232
3,1,0.78,0.6578312826156616
3,2,0.74,0.6964190840721131
4,0,0.75,0.6285118341445923
4,1,0.78,0.5972938966751099
4,2,0.77,0.6177869963645936
5,0,0.79,0.5366765689849854
5,1,0.82,0.510790250301361
5,2,0.78,0.53483278632164
6,0,0.79,0.49346152782440184
6,1,0.86,0.45198418617248537
6,2,0.78,0.4905323827266693
7,0,0.81,0.48732303142547606
7,1,0.82,0.46542325496673587
7,2,0.82,0.47857202768325807
8,0,0.85,0.48576109886169433
8,1,0.86,0.43478325366973875
8,2,0.82,0.4686935567855835
9,0,0.81,0.4655846309661865
9,1,0.88,0.38568620681762694
9,2,0.8,0.4520205533504486
10,0,0.77,0.5471144962310791
10,1,0.81,0.5049226486682892
10,2,0.8,0.4924214458465576

