round,client_id,accuracy,loss
0,0,0.22,1.142490348815918
0,1,0.3,1.106903805732727
0,2,0.31333333333333335,1.1050385920206707
1,0,0.7,0.6736352348327637
1,1,0.59,0.8554967474937439
1,2,0.5733333333333334,0.8843466440836588
2,0,0.74,0.6624054527282714
2,1,0.61,0.9118230009078979
2,2,0.5733333333333334,0.9003946050008138
3,0,0.86,0.49816179275512695
3,1,0.74,0.6154517221450806
3,2,0.7533333333333333,0.6487816174825033
4,0,0.86,0.4501429748535156
4,1,0.79,0.5661277043819427
4,2,0.84,0.5695983250935872
5,0,0.9,0.40855907440185546
5,1,0.78,0.5763565289974213
5,2,0.82,0.5274847284952799
6,0,0.92,0.29894825935363767
6,1,0.81,0.4715947663784027
6,2,0.8333333333333334,0.44078187306722005
7,0,0.92,0.31203847885131836
7,1,0.8,0.47218946635723114
7,2,0.8333333333333334,0.43722145080566405
8,0,0.9,0.3321992492675781
8,1,0.82,0.4637260437011719
8,2,0.8266666666666667,0.4537160873413086
9,0,0.9,0.3226952075958252
9,1,0.79,0.47696215033531186
9,2,0.82,0.45301438013712564
10,0,0.92,0.31109749794006347
10,1,0.81,0.42660093486309053
10,2,0.8066666666666666,0.43440614064534505
