round,global_accuracy
0,0.31
1,0.5566666666666666
2,0.6266666666666667
3,0.75
4,0.7666666666666667
5,0.7966666666666666
6,0.81
7,0.8166666666666667
8,0.8433333333333334
9,0.83
10,0.7933333333333333
0,0.31
1,0.44333333333333336
2,0.6366666666666667
3,0.7233333333333334
4,0.77
0,0.49333333333333335
1,0.5366666666666666
2,0.6366666666666667
3,0.31666666666666665
4,0.6866666666666666
5,0.7166666666666667
6,0.7633333333333333
7,0.7733333333333333
8,0.71
9,0.8
10,0.8033333333333333
